convergence_threshold,divergence_threshold,atr_multiplier_stop,atr_multiplier_target,max_hold_bars,sharpe_ratio,total_return,max_drawdown,win_rate,profit_factor,num_trades,consistency_score,success
0.2,0.2,1.0,1.5,30,1.6418387009847475,31.19,2.269809244314013,54.86725663716814,2.7784934192103052,113,15.770895475636955,True
0.2,0.3,1.0,1.5,30,1.6418387009847475,31.19,2.269809244314013,54.86725663716814,2.7784934192103052,113,15.770895475636955,True
0.2,0.2,1.0,1.5,40,1.6418387009847475,31.19,2.269809244314013,54.86725663716814,2.7784934192103052,113,15.770895475636955,True
0.2,0.3,1.0,2.0,40,1.6418387009847475,31.19,2.269809244314013,54.86725663716814,2.7784934192103052,113,15.770895475636955,True
0.2,0.3,1.0,2.0,30,1.6418387009847475,31.19,2.269809244314013,54.86725663716814,2.7784934192103052,113,15.770895475636955,True
0.2,0.3,1.0,1.5,50,1.6418387009847475,31.19,2.269809244314013,54.86725663716814,2.7784934192103052,113,15.770895475636955,True
0.2,0.3,1.0,1.5,40,1.6418387009847475,31.19,2.269809244314013,54.86725663716814,2.7784934192103052,113,15.770895475636955,True
0.2,0.3,1.0,2.0,50,1.6418387009847475,31.19,2.269809244314013,54.86725663716814,2.7784934192103052,113,15.770895475636955,True
0.2,0.2,1.0,1.5,50,1.6418387009847475,31.19,2.269809244314013,54.86725663716814,2.7784934192103052,113,15.770895475636955,True
0.2,0.2,1.0,2.0,50,1.6418387009847475,31.19,2.269809244314013,54.86725663716814,2.7784934192103052,113,15.770895475636955,True
0.2,0.2,1.0,2.0,40,1.6418387009847475,31.19,2.269809244314013,54.86725663716814,2.7784934192103052,113,15.770895475636955,True
0.2,0.2,1.0,2.0,30,1.6418387009847475,31.19,2.269809244314013,54.86725663716814,2.7784934192103052,113,15.770895475636955,True
0.2,0.3,1.5,2.0,30,1.598010810206112,29.409999999999997,3.1032954041672824,64.8936170212766,2.863423760523854,94,14.891092796787648,True
0.2,0.2,1.5,2.0,30,1.598010810206112,29.409999999999997,3.1032954041672824,64.8936170212766,2.863423760523854,94,14.891092796787648,True
0.2,0.2,1.5,1.5,30,1.5911331281352274,29.28,3.1032954041672824,64.8936170212766,2.8553164951668224,94,14.90312058121277,True
0.2,0.3,1.5,1.5,30,1.5911331281352274,29.28,3.1032954041672824,64.8936170212766,2.8553164951668224,94,14.90312058121277,True
0.2,0.2,1.5,2.0,40,1.5886026786189895,29.189999999999998,3.1032954041672824,65.21739130434783,2.8370508054522925,92,14.861368070554498,True
0.2,0.2,1.5,2.0,50,1.5886026786189895,29.189999999999998,3.1032954041672824,65.21739130434783,2.8370508054522925,92,14.861368070554498,True
0.2,0.3,1.5,2.0,50,1.5886026786189895,29.189999999999998,3.1032954041672824,65.21739130434783,2.8370508054522925,92,14.861368070554498,True
0.2,0.3,1.5,2.0,40,1.5886026786189895,29.189999999999998,3.1032954041672824,65.21739130434783,2.8370508054522925,92,14.861368070554498,True
0.2,0.2,1.5,1.5,50,1.5817143436044343,29.060000000000002,3.1032954041672824,65.21739130434783,2.828996282527881,92,14.873704963624359,True
0.2,0.3,1.5,1.5,50,1.5817143436044343,29.060000000000002,3.1032954041672824,65.21739130434783,2.828996282527881,92,14.873704963624359,True
0.2,0.3,1.5,1.5,40,1.5817143436044343,29.060000000000002,3.1032954041672824,65.21739130434783,2.828996282527881,92,14.873704963624359,True
0.2,0.2,1.5,1.5,40,1.5817143436044343,29.060000000000002,3.1032954041672824,65.21739130434783,2.828996282527881,92,14.873704963624359,True
0.25,0.3,1.5,2.0,30,1.5056848514045003,24.54,2.9692931633835458,67.10526315789474,2.928046421663443,76,15.686968865366147,True
0.25,0.2,1.5,2.0,30,1.5056848514045003,24.54,2.9692931633835458,67.10526315789474,2.928046421663443,76,15.686968865366147,True
