convergence_threshold,divergence_threshold,atr_multiplier_stop,atr_multiplier_target,max_hold_bars,sharpe_ratio,total_return,max_drawdown,win_rate,profit_factor,num_trades,consistency_score,success
0.5,0.3,1.0,2.0,50,0.0,0.0,0.0,0.0,0.0,0,,True
0.5,0.3,1.0,2.0,40,0.0,0.0,0.0,0.0,0.0,0,,True
0.5,0.3,1.0,1.5,40,0.0,0.0,0.0,0.0,0.0,0,,True
0.5,0.3,1.5,2.0,50,0.0,0.0,0.0,0.0,0.0,0,,True
0.3,0.2,1.5,2.0,30,-0.06864103061160745,-0.13,0.8870284546768326,58.333333333333336,0.9650872817955112,12,66.755480350987,True
0.3,0.2,1.5,2.0,40,-0.06864103061160745,-0.13,0.8870284546768326,58.333333333333336,0.9650872817955112,12,66.755480350987,True
0.3,0.2,1.5,2.0,50,-0.06864103061160745,-0.13,0.8870284546768326,58.333333333333336,0.9650872817955112,12,66.755480350987,True
0.3,0.2,1.0,1.5,30,-0.08893962145339673,-0.13999999999999999,1.0560398505603985,53.333333333333336,0.9696969696969697,15,76.95929129034907,True
0.3,0.2,1.0,1.5,50,-0.08893962145339673,-0.13999999999999999,1.0560398505603985,53.333333333333336,0.9696969696969697,15,76.95929129034907,True
0.3,0.2,1.0,1.5,40,-0.08893962145339673,-0.13999999999999999,1.0560398505603985,53.333333333333336,0.9696969696969697,15,76.95929129034907,True
0.2,0.2,1.0,2.0,40,-0.1417300973626597,-0.32,1.394302848575712,42.857142857142854,0.9636591478696742,35,52.79718275839408,True
0.2,0.2,1.0,2.0,50,-0.1417300973626597,-0.32,1.394302848575712,42.857142857142854,0.9636591478696742,35,52.79718275839408,True
0.2,0.2,1.0,2.0,30,-0.1417300973626597,-0.32,1.394302848575712,42.857142857142854,0.9636591478696742,35,52.79718275839408,True
0.3,0.3,1.0,2.0,30,-0.18319027692997056,-0.33999999999999997,1.4319097101377218,33.33333333333333,0.8685446009389671,12,70.72061287982672,True
0.3,0.3,1.0,2.0,50,-0.18319027692997056,-0.33999999999999997,1.4319097101377218,33.33333333333333,0.8685446009389671,12,70.72061287982672,True
0.3,0.3,1.0,2.0,40,-0.18319027692997056,-0.33999999999999997,1.4319097101377218,33.33333333333333,0.8685446009389671,12,70.72061287982672,True
0.3,0.3,1.0,1.5,30,-0.18572146584351065,-0.31,1.4351921064434146,35.714285714285715,0.9014373716632443,14,61.329545302815944,True
